id,longitude,latitude,plugs,plug_type,plug_power_kw
s1,-97.7417,30.44356,10,DC,50
s2,-97.77577,30.44378,10,DC,50
s3,-97.69389,30.32239,10,DC,50
s4,-97.76313,30.25264,10,DC,50
s5,-97.77235,30.27844,10,DC,50
s6,-97.77314,30.27815,10,DC,50
s7,-97.71634,30.42091,10,DC,50
s8,-97.74245,30.30878,10,DC,50
s9,-97.74143,30.31508,10,DC,50
s10,-97.75615,30.33714,10,DC,50
s11,-97.75677,30.33747,10,DC,50
s12,-97.75834,30.33616,10,DC,50
s13,-97.75868,30.33819,10,DC,50
s14,-97.73816,30.35931,10,DC,50
s15,-97.74229,30.29479,10,DC,50
s16,-97.74529,30.30151,10,DC,50
s17,-97.84061,30.51788,10,DC,50
s18,-97.77456,30.50873,10,DC,50
s19,-97.74855,30.40035,10,DC,50
s20,-97.79109,30.44811,10,DC,50
s21,-97.78578,30.45045,10,DC,50
s22,-97.8033,30.46574,10,DC,50
s23,-97.79027,30.46972,10,DC,50
s24,-97.79384,30.44816,10,DC,50
s25,-97.71703,30.36002,10,DC,50
s26,-97.71612,30.36018,10,DC,50
s27,-97.74819,30.41648,10,DC,50
s28,-97.74621,30.4028,10,DC,50
s29,-97.62013,30.43977,10,DC,50
s30,-97.79269,30.46131,10,DC,50
s31,-97.63325,30.4147,10,DC,50
s32,-97.75946,30.24187,10,DC,50
s33,-97.74217,30.23427,10,DC,50
s34,-97.76427,30.24366,10,DC,50
s35,-97.76297,30.22339,10,DC,50
s36,-97.76483,30.2225,10,DC,50
s37,-97.77009,30.22618,10,DC,50
s38,-97.7528,30.21236,10,DC,50
s39,-97.76376,30.22395,10,DC,50
s40,-97.81444,30.4631,10,DC,50
s41,-97.54384,30.53522,10,DC,50
s42,-97.82062,30.46091,10,DC,50
s43,-97.7646,30.47737,10,DC,50
s44,-97.72586,30.30481,10,DC,50
s45,-97.74699,30.40027,10,DC,50
s46,-97.70111,30.51229,10,DC,50
s47,-97.69371,30.53636,10,DC,50
s48,-97.69138,30.52847,10,DC,50
s49,-97.68686,30.51619,10,DC,50
s50,-97.68743,30.51029,10,DC,50
s51,-97.68533,30.51013,10,DC,50
s52,-97.69128,30.51759,10,DC,50
s53,-97.66756,30.45649,10,DC,50
s54,-97.66504,30.45535,10,DC,50
s55,-97.67001,30.44041,10,DC,50
s56,-97.67218,30.42506,10,DC,50
s57,-97.67077,30.42465,10,DC,50
s58,-97.67099,30.42372,10,DC,50
s59,-97.67401,30.40609,10,DC,50
s60,-97.67557,30.37645,10,DC,50
s61,-97.68704,30.35816,10,DC,50
s62,-97.68916,30.35823,10,DC,50
s63,-97.68867,30.35903,10,DC,50
s64,-97.69047,30.35976,10,DC,50
s65,-97.69141,30.36023,10,DC,50
s66,-97.70471,30.33335,10,DC,50
s67,-97.70503,30.33279,10,DC,50
s68,-97.70129,30.33597,10,DC,50
s69,-97.70798,30.31829,10,DC,50
s70,-97.70616,30.32162,10,DC,50
s71,-97.71935,30.29442,10,DC,50
s72,-97.71986,30.29541,10,DC,50
s73,-97.72634,30.376,10,DC,50
s74,-97.72899,30.32992,10,DC,50
s75,-97.73132,30.33092,10,DC,50
s76,-97.72677,30.32583,10,DC,50
s77,-97.73721,30.25455,10,DC,50
s78,-97.7621,30.22699,10,DC,50
s79,-97.7522,30.27473,10,DC,50
s80,-97.7515,30.27715,10,DC,50
s81,-97.71483,30.34373,10,DC,50
s82,-97.72897,30.32124,10,DC,50
s83,-97.73053,30.31883,10,DC,50
s84,-97.74357,30.30415,10,DC,50
s85,-97.71532,30.30875,10,DC,50
s86,-97.71544,30.30778,10,DC,50
s87,-97.70859,30.35083,10,DC,50
s88,-97.7042,30.35414,10,DC,50
s89,-97.70266,30.35589,10,DC,50
s90,-97.70031,30.3581,10,DC,50
s91,-97.69965,30.35796,10,DC,50
s92,-97.69228,30.37076,10,DC,50
s93,-97.69123,30.374,10,DC,50
s94,-97.68941,30.3772,10,DC,50
s95,-97.68785,30.38005,10,DC,50
s96,-97.56104,30.34862,10,DC,50
s97,-97.55786,30.34904,10,DC,50
s98,-97.55622,30.34855,10,DC,50
s99,-97.55761,30.34092,10,DC,50
s100,-97.47489,30.3508,10,DC,50
s101,-97.75746,30.24453,10,DC,50
s102,-97.68563,30.44562,10,DC,50
s103,-97.67493,30.4354,10,DC,50
s104,-97.69754,30.40812,10,DC,50
s105,-97.69673,30.40785,10,DC,50
s106,-97.66063,30.45642,10,DC,50
s107,-97.81752,30.46209,10,DC,50
s108,-97.87774,30.23672,10,DC,50
s109,-97.88116,30.24168,10,DC,50
s110,-97.88807,30.22955,10,DC,50
s111,-97.91163,30.23469,10,DC,50
s112,-97.93451,30.23074,10,DC,50
s113,-97.9419,30.22839,10,DC,50
s114,-97.95655,30.22196,10,DC,50
s115,-97.82979,30.21404,10,DC,50
s116,-97.83022,30.21335,10,DC,50
s117,-97.92524,30.19296,10,DC,50
s118,-97.68567,30.50015,10,DC,50
s119,-97.7019,30.51326,10,DC,50
s120,-97.69571,30.48846,10,DC,50
s121,-97.65105,30.51804,10,DC,50
s122,-97.74668,30.41419,10,DC,50
s123,-97.74571,30.41654,10,DC,50
s124,-97.68909,30.21817,10,DC,50
s125,-97.76358,30.34271,10,DC,50
s126,-97.75321,30.35387,10,DC,50
s127,-97.69897,30.51189,10,DC,50
s128,-97.82583,30.17429,10,DC,50
s129,-97.82347,30.17326,10,DC,50
s130,-97.95285,30.16152,10,DC,50
s131,-97.92661,30.41241,10,DC,50
s132,-97.82992,30.29584,10,DC,50
s133,-97.83761,30.29963,10,DC,50
s134,-97.83978,30.30353,10,DC,50
s135,-97.76931,30.19062,10,DC,50
s136,-97.83251,30.44378,10,DC,50
s137,-97.69489,30.45029,10,DC,50
s138,-97.84043,30.17949,10,DC,50
s139,-97.82298,30.17594,10,DC,50
s140,-97.79959,30.17192,10,DC,50
s141,-97.789,30.16663,10,DC,50
s142,-97.70288,30.22518,10,DC,50
s143,-97.70345,30.22464,10,DC,50
s144,-97.7036,30.22532,10,DC,50
s145,-97.7592,30.25917,10,DC,50
s146,-97.76296,30.25416,10,DC,50
s147,-97.86376,30.31787,10,DC,50
s148,-97.72013,30.23189,10,DC,50
s149,-97.72839,30.24134,10,DC,50
s150,-97.65992,30.32905,10,DC,50
s151,-97.70454,30.31306,10,DC,50
s152,-97.70501,30.31281,10,DC,50
s153,-97.86458,30.22927,10,DC,50
s154,-97.61642,30.49713,10,DC,50
s155,-97.75176,30.24281,10,DC,50
s156,-97.75169,30.24309,10,DC,50
s157,-97.71908,30.31406,10,DC,50
s158,-97.76414,30.30325,10,DC,50
s159,-97.72436,30.30667,10,DC,50
s160,-97.7672,30.18939,10,DC,50
s161,-97.46765,30.46478,10,DC,50
s162,-97.81765,30.52684,10,DC,50
s163,-97.72212,30.23404,10,DC,50
s164,-97.74405,30.15749,10,DC,50
s165,-97.64096,30.47268,10,DC,50
s166,-97.72087,30.27965,10,DC,50
s167,-97.78216,30.24399,10,DC,50
s168,-97.7883,30.2293,10,DC,50
s169,-97.639,30.52475,10,DC,50
s170,-97.79694,30.14008,10,DC,50
s171,-97.705,30.39816,10,DC,50
s172,-97.7197,30.39022,10,DC,50
s173,-97.64362,30.13017,10,DC,50
s174,-97.88803,30.24623,10,DC,50
s175,-97.86064,30.49027,10,DC,50
s176,-97.832,30.48173,10,DC,50
s177,-97.83323,30.4813,10,DC,50
s178,-97.83222,30.48087,10,DC,50
s179,-97.89225,30.36954,10,DC,50
s180,-97.72633,30.25786,10,DC,50
s181,-97.77052,30.22451,10,DC,50
s182,-97.74534,30.15889,10,DC,50
s183,-97.79363,30.47594,10,DC,50
s184,-97.91221,30.51197,10,DC,50
s185,-97.75091,30.27459,10,DC,50
s186,-97.67543,30.49338,10,DC,50
