station_id,longitude,latitude,plugs,plug_type,plug_power_kw
s1,-73.87975,40.70222,10,DC,50
s2,-73.82576,40.74796,10,DC,50
s3,-73.81476,40.73936,10,DC,50
s4,-73.81455,40.7383,10,DC,50
s5,-74.17938,40.82891,10,DC,50
s6,-74.1863,40.82858,10,DC,50
s7,-74.13976,40.82545,10,DC,50
s8,-73.94168,40.7145,10,DC,50
s9,-73.87662,40.70446,10,DC,50
s10,-74.11498,40.93089,10,DC,50
s11,-74.04358,40.7352,10,DC,50
s12,-74.03796,40.7369,10,DC,50
s13,-74.10845,40.64529,10,DC,50
s14,-74.18055,40.8359,10,DC,50
s15,-73.85934,40.71154,10,DC,50
s16,-73.85481,40.70273,10,DC,50
s17,-73.87663,40.70596,10,DC,50
s18,-73.85569,40.70284,10,DC,50
s19,-74.09367,40.82836,10,DC,50
s20,-73.92271,40.86694,10,DC,50
s21,-74.16981,40.80347,10,DC,50
s22,-73.931,40.65777,10,DC,50
s23,-74.16949,40.80277,10,DC,50
s24,-73.97366,40.86819,10,DC,50
s25,-73.82364,40.76436,10,DC,50
s26,-73.97378,40.7957,10,DC,50
s27,-73.80983,40.66737,10,DC,50
s28,-73.99634,40.76397,10,DC,50
s29,-73.96895,40.8607,10,DC,50
s30,-73.94906,40.71061,10,DC,50
s31,-74.0651,40.76947,10,DC,50
s32,-74.0229,40.63924,10,DC,50
s33,-74.01948,40.64036,10,DC,50
s34,-74.04247,40.85495,10,DC,50
s35,-74.04186,40.85482,10,DC,50
s36,-74.04182,40.85444,10,DC,50
s37,-73.92849,40.7439,10,DC,50
s38,-73.92595,40.7436,10,DC,50
s39,-73.91461,40.76346,10,DC,50
s40,-73.95066,40.74454,10,DC,50
s41,-73.9284,40.86611,10,DC,50
s42,-73.91481,40.87045,10,DC,50
s43,-73.93993,40.67973,10,DC,50
s44,-73.77635,40.91375,10,DC,50
s45,-73.97077,40.84698,10,DC,50
s46,-73.96706,40.85563,10,DC,50
s47,-73.89775,40.76017,10,DC,50
