station_id,station_type,longitude,latitude,plugs,plug_type,plug_power_kw,cost_per_kwh
d1,depot,-97.75387,30.28957,500,AC,7.2,
d2,depot,-97.69096,30.21927,500,AC,7.2,
s1,station,-97.7417,30.44356,10,DC,50,
s2,station,-97.77577,30.44378,10,DC,50,
s3,station,-97.69389,30.32239,10,DC,50,
s4,station,-97.76313,30.25264,10,DC,50,
s5,station,-97.77235,30.27844,10,DC,50,
s6,station,-97.77314,30.27815,10,DC,50,
s7,station,-97.71634,30.42091,10,DC,50,
s8,station,-97.74245,30.30878,10,DC,50,
s9,station,-97.74143,30.31508,10,DC,50,
s10,station,-97.75615,30.33714,10,DC,50,
s11,station,-97.75677,30.33747,10,DC,50,
s12,station,-97.75834,30.33616,10,DC,50,
s13,station,-97.75868,30.33819,10,DC,50,
s14,station,-97.73816,30.35931,10,DC,50,
s15,station,-97.74229,30.29479,10,DC,50,
s16,station,-97.74529,30.30151,10,DC,50,
s17,station,-97.84061,30.51788,10,DC,50,
s18,station,-97.77456,30.50873,10,DC,50,
s19,station,-97.74855,30.40035,10,DC,50,
s20,station,-97.79109,30.44811,10,DC,50,
s21,station,-97.78578,30.45045,10,DC,50,
s22,station,-97.8033,30.46574,10,DC,50,
s23,station,-97.79027,30.46972,10,DC,50,
s24,station,-97.79384,30.44816,10,DC,50,
s25,station,-97.71703,30.36002,10,DC,50,
s26,station,-97.71612,30.36018,10,DC,50,
s27,station,-97.74819,30.41648,10,DC,50,
s28,station,-97.74621,30.4028,10,DC,50,
s29,station,-97.62013,30.43977,10,DC,50,
s30,station,-97.79269,30.46131,10,DC,50,
s31,station,-97.63325,30.4147,10,DC,50,
s32,station,-97.75946,30.24187,10,DC,50,
s33,station,-97.74217,30.23427,10,DC,50,
s34,station,-97.76427,30.24366,10,DC,50,
s35,station,-97.76297,30.22339,10,DC,50,
s36,station,-97.76483,30.2225,10,DC,50,
s37,station,-97.77009,30.22618,10,DC,50,
s38,station,-97.7528,30.21236,10,DC,50,
s39,station,-97.76376,30.22395,10,DC,50,
s40,station,-97.81444,30.4631,10,DC,50,
s41,station,-97.54384,30.53522,10,DC,50,
s42,station,-97.82062,30.46091,10,DC,50,
s43,station,-97.7646,30.47737,10,DC,50,
s44,station,-97.72586,30.30481,10,DC,50,
s45,station,-97.74699,30.40027,10,DC,50,
s46,station,-97.70111,30.51229,10,DC,50,
s47,station,-97.69371,30.53636,10,DC,50,
s48,station,-97.69138,30.52847,10,DC,50,
s49,station,-97.68686,30.51619,10,DC,50,
s50,station,-97.68743,30.51029,10,DC,50,
s51,station,-97.68533,30.51013,10,DC,50,
s52,station,-97.69128,30.51759,10,DC,50,
s53,station,-97.66756,30.45649,10,DC,50,
s54,station,-97.66504,30.45535,10,DC,50,
s55,station,-97.67001,30.44041,10,DC,50,
s56,station,-97.67218,30.42506,10,DC,50,
s57,station,-97.67077,30.42465,10,DC,50,
s58,station,-97.67099,30.42372,10,DC,50,
s59,station,-97.67401,30.40609,10,DC,50,
s60,station,-97.67557,30.37645,10,DC,50,
s61,station,-97.68704,30.35816,10,DC,50,
s62,station,-97.68916,30.35823,10,DC,50,
s63,station,-97.68867,30.35903,10,DC,50,
s64,station,-97.69047,30.35976,10,DC,50,
s65,station,-97.69141,30.36023,10,DC,50,
s66,station,-97.70471,30.33335,10,DC,50,
s67,station,-97.70503,30.33279,10,DC,50,
s68,station,-97.70129,30.33597,10,DC,50,
s69,station,-97.70798,30.31829,10,DC,50,
s70,station,-97.70616,30.32162,10,DC,50,
s71,station,-97.71935,30.29442,10,DC,50,
s72,station,-97.71986,30.29541,10,DC,50,
s73,station,-97.72634,30.376,10,DC,50,
s74,station,-97.72899,30.32992,10,DC,50,
s75,station,-97.73132,30.33092,10,DC,50,
s76,station,-97.72677,30.32583,10,DC,50,
s77,station,-97.73721,30.25455,10,DC,50,
s78,station,-97.7621,30.22699,10,DC,50,
s79,station,-97.7522,30.27473,10,DC,50,
s80,station,-97.7515,30.27715,10,DC,50,
s81,station,-97.71483,30.34373,10,DC,50,
s82,station,-97.72897,30.32124,10,DC,50,
s83,station,-97.73053,30.31883,10,DC,50,
s84,station,-97.74357,30.30415,10,DC,50,
s85,station,-97.71532,30.30875,10,DC,50,
s86,station,-97.71544,30.30778,10,DC,50,
s87,station,-97.70859,30.35083,10,DC,50,
s88,station,-97.7042,30.35414,10,DC,50,
s89,station,-97.70266,30.35589,10,DC,50,
s90,station,-97.70031,30.3581,10,DC,50,
s91,station,-97.69965,30.35796,10,DC,50,
s92,station,-97.69228,30.37076,10,DC,50,
s93,station,-97.69123,30.374,10,DC,50,
s94,station,-97.68941,30.3772,10,DC,50,
s95,station,-97.68785,30.38005,10,DC,50,
s96,station,-97.56104,30.34862,10,DC,50,
s97,station,-97.55786,30.34904,10,DC,50,
s98,station,-97.55622,30.34855,10,DC,50,
s99,station,-97.55761,30.34092,10,DC,50,
s100,station,-97.47489,30.3508,10,DC,50,
s101,station,-97.75746,30.24453,10,DC,50,
s102,station,-97.68563,30.44562,10,DC,50,
s103,station,-97.67493,30.4354,10,DC,50,
s104,station,-97.69754,30.40812,10,DC,50,
s105,station,-97.69673,30.40785,10,DC,50,
s106,station,-97.66063,30.45642,10,DC,50,
s107,station,-97.81752,30.46209,10,DC,50,
s108,station,-97.87774,30.23672,10,DC,50,
s109,station,-97.88116,30.24168,10,DC,50,
s110,station,-97.88807,30.22955,10,DC,50,
s111,station,-97.91163,30.23469,10,DC,50,
s112,station,-97.93451,30.23074,10,DC,50,
s113,station,-97.9419,30.22839,10,DC,50,
s114,station,-97.95655,30.22196,10,DC,50,
s115,station,-97.82979,30.21404,10,DC,50,
