station_id,station_type,longitude,latitude,plugs,plug_type,plug_power_kw,cost_per_kwh
d1,depot,-73.98357,40.75551,50000,AC,7.2,
s1,station,-73.87975,40.70222,10,DC,50,
s2,station,-73.82576,40.74796,10,DC,50,
s3,station,-73.81476,40.73936,10,DC,50,
s4,station,-73.81455,40.7383,10,DC,50,
s5,station,-74.17938,40.82891,10,DC,50,
s6,station,-74.1863,40.82858,10,DC,50,
s7,station,-74.13976,40.82545,10,DC,50,
s8,station,-73.94168,40.7145,10,DC,50,
s9,station,-73.87662,40.70446,10,DC,50,
s10,station,-74.11498,40.93089,10,DC,50,
s11,station,-74.04358,40.7352,10,DC,50,
s12,station,-74.03796,40.7369,10,DC,50,
s13,station,-74.10845,40.64529,10,DC,50,
s14,station,-74.18055,40.8359,10,DC,50,
s15,station,-73.85934,40.71154,10,DC,50,
s16,station,-73.85481,40.70273,10,DC,50,
s17,station,-73.87663,40.70596,10,DC,50,
s18,station,-73.85569,40.70284,10,DC,50,
s19,station,-74.09367,40.82836,10,DC,50,
s20,station,-73.92271,40.86694,10,DC,50,
s21,station,-74.16981,40.80347,10,DC,50,
s22,station,-73.931,40.65777,10,DC,50,
s23,station,-74.16949,40.80277,10,DC,50,
s24,station,-73.97366,40.86819,10,DC,50,
s25,station,-73.82364,40.76436,10,DC,50,
s26,station,-73.97378,40.7957,10,DC,50,
s27,station,-73.80983,40.66737,10,DC,50,
s28,station,-73.99634,40.76397,10,DC,50,
s29,station,-73.96895,40.8607,10,DC,50,
s30,station,-73.94906,40.71061,10,DC,50,
s31,station,-74.0651,40.76947,10,DC,50,
s32,station,-74.0229,40.63924,10,DC,50,
s33,station,-74.01948,40.64036,10,DC,50,
s34,station,-74.04247,40.85495,10,DC,50,
s35,station,-74.04186,40.85482,10,DC,50,
s36,station,-74.04182,40.85444,10,DC,50,
s37,station,-73.92849,40.7439,10,DC,50,
s38,station,-73.92595,40.7436,10,DC,50,
s39,station,-73.91461,40.76346,10,DC,50,
s40,station,-73.95066,40.74454,10,DC,50,
s41,station,-73.9284,40.86611,10,DC,50,
s42,station,-73.91481,40.87045,10,DC,50,
s43,station,-73.93993,40.67973,10,DC,50,
s44,station,-73.77635,40.91375,10,DC,50,
s45,station,-73.97077,40.84698,10,DC,50,
s46,station,-73.96706,40.85563,10,DC,50,
s47,station,-73.89775,40.76017,10,DC,50,
s48,station,-73.96207,40.61023,10,DC,50,
s49,station,-73.95384,40.61369,10,DC,50,
s50,station,-73.9001,40.8856,10,DC,50,
s51,station,-73.86732,40.90358,10,DC,50,
s52,station,-73.86778,40.90442,10,DC,50,
s53,station,-73.96277,40.61019,10,DC,50,
s54,station,-73.95528,40.8651,10,DC,50,
s55,station,-73.95373,40.86715,10,DC,50,
s56,station,-74.16274,40.60734,10,DC,50,
s57,station,-74.14785,40.94252,10,DC,50,
s58,station,-74.1626,40.75417,10,DC,50,
s59,station,-74.07103,40.91124,10,DC,50,
s60,station,-73.95421,40.8107,10,DC,50,
s61,station,-74.00348,40.73899,10,DC,50,
s62,station,-73.90369,40.90747,10,DC,50,
s63,station,-73.94428,40.72058,10,DC,50,
s64,station,-73.96139,40.69417,10,DC,50,
s65,station,-73.94806,40.78936,10,DC,50,
s66,station,-73.86172,40.73027,10,DC,50,
s67,station,-74.05667,40.73571,10,DC,50,
s68,station,-73.91816,40.76973,10,DC,50,
s69,station,-73.91895,40.77012,10,DC,50,
s70,station,-74.19763,40.55923,10,DC,50,
s71,station,-73.90402,40.74182,10,DC,50,
s72,station,-73.93375,40.80307,10,DC,50,
s73,station,-73.91534,40.74307,10,DC,50,
s74,station,-73.94988,40.70496,10,DC,50,
s75,station,-73.85654,40.74683,10,DC,50,
s76,station,-73.88981,40.63342,10,DC,50,
s77,station,-73.90076,40.64338,10,DC,50,
s78,station,-73.90544,40.64819,10,DC,50,
s79,station,-73.89693,40.69404,10,DC,50,
s80,station,-74.10265,40.8675,10,DC,50,
s81,station,-73.97324,40.86743,10,DC,50,
s82,station,-73.97309,40.86789,10,DC,50,
s83,station,-73.97364,40.8663,10,DC,50,
s84,station,-73.98663,40.88185,10,DC,50,
s85,station,-73.98808,40.88356,10,DC,50,
s86,station,-73.98749,40.88319,10,DC,50,
s87,station,-73.98882,40.88401,10,DC,50,
s88,station,-73.98921,40.88359,10,DC,50,
s89,station,-74.04244,40.91244,10,DC,50,
s90,station,-74.05001,40.91517,10,DC,50,
s91,station,-74.1187,40.93354,10,DC,50,
s92,station,-74.09831,40.70527,10,DC,50,
s93,station,-74.08137,40.72116,10,DC,50,
s94,station,-73.91418,40.82408,10,DC,50,
s95,station,-74.16928,40.56072,10,DC,50,
s96,station,-73.89054,40.75522,10,DC,50,
s97,station,-73.89132,40.75512,10,DC,50,
s98,station,-73.96949,40.69764,10,DC,50,
s99,station,-74.04347,40.73014,10,DC,50,
s100,station,-74.04408,40.73218,10,DC,50,
s101,station,-74.04306,40.73208,10,DC,50,
s102,station,-74.04253,40.73007,10,DC,50,
s103,station,-74.04185,40.73001,10,DC,50,
s104,station,-73.84993,40.91264,10,DC,50,
s105,station,-73.70016,40.72918,10,DC,50,
s106,station,-73.9372,40.75978,10,DC,50,
s107,station,-74.00421,40.75307,10,DC,50,
s108,station,-74.04422,40.73014,10,DC,50,
s109,station,-74.23436,40.52437,10,DC,50,
s110,station,-73.88628,40.76948,10,DC,50,
s111,station,-73.88395,40.76471,10,DC,50,
s112,station,-73.88676,40.76468,10,DC,50,
s113,station,-73.93058,40.73755,10,DC,50,
s114,station,-73.91071,40.75277,10,DC,50,
s115,station,-73.89884,40.75002,10,DC,50,
s116,station,-73.89322,40.74652,10,DC,50,
s117,station,-73.92219,40.74318,10,DC,50,
s118,station,-73.8951,40.75434,10,DC,50,
s119,station,-73.89777,40.75402,10,DC,50,
s120,station,-73.99445,40.80029,10,DC,50,
s121,station,-73.90978,40.7695,10,DC,50,
s122,station,-73.93807,40.73462,10,DC,50,
s123,station,-73.93465,40.74078,10,DC,50,
s124,station,-73.93167,40.76504,10,DC,50,
s125,station,-73.84974,40.76134,10,DC,50,
s126,station,-73.92405,40.75226,10,DC,50,
s127,station,-73.8632,40.83314,10,DC,50,
s128,station,-73.87037,40.83552,10,DC,50,
s129,station,-74.10289,40.72927,10,DC,50,
s130,station,-73.93815,40.82096,10,DC,50,
s131,station,-73.9377,40.82077,10,DC,50,
s132,station,-74.16277,40.54397,10,DC,50,
s133,station,-74.15854,40.54671,10,DC,50,
s134,station,-74.20689,40.55805,10,DC,50,
s135,station,-74.19838,40.55886,10,DC,50,
s136,station,-74.16293,40.56027,10,DC,50,
s137,station,-74.20754,40.73112,10,DC,50,
s138,station,-73.78735,40.84994,10,DC,50,
s139,station,-73.82552,40.73285,10,DC,50,
s140,station,-74.07622,40.63607,10,DC,50,
s141,station,-73.80876,40.67478,10,DC,50,
s142,station,-74.16748,40.58841,10,DC,50,
s143,station,-74.16163,40.60681,10,DC,50,
s144,station,-74.11927,40.5759,10,DC,50,
s145,station,-74.10466,40.58619,10,DC,50,
s146,station,-74.09184,40.59996,10,DC,50,
s147,station,-74.08963,40.60943,10,DC,50,
s148,station,-74.0903,40.60962,10,DC,50,
s149,station,-74.08708,40.61364,10,DC,50,
s150,station,-74.0845,40.61553,10,DC,50,
s151,station,-74.08361,40.62311,10,DC,50,
s152,station,-74.07559,40.63635,10,DC,50,
