station_id,lon,lat,charger_count,charger_type
b1,-73.98357,40.75551,50000,LEVEL_2
s1,-73.87975,40.70222,10,DCFC
s2,-73.82576,40.74796,10,DCFC
s3,-73.81476,40.73936,10,DCFC
s4,-73.81455,40.7383,10,DCFC
s5,-74.17938,40.82891,10,DCFC
s6,-74.1863,40.82858,10,DCFC
s7,-74.13976,40.82545,10,DCFC
s8,-73.94168,40.7145,10,DCFC
s9,-73.87662,40.70446,10,DCFC
s10,-74.11498,40.93089,10,DCFC
s11,-74.04358,40.7352,10,DCFC
s12,-74.03796,40.7369,10,DCFC
s13,-74.10845,40.64529,10,DCFC
s14,-74.18055,40.8359,10,DCFC
s15,-73.85934,40.71154,10,DCFC
s16,-73.85481,40.70273,10,DCFC
s17,-73.87663,40.70596,10,DCFC
s18,-73.85569,40.70284,10,DCFC
s19,-74.09367,40.82836,10,DCFC
s20,-73.92271,40.86694,10,DCFC
s21,-74.16981,40.80347,10,DCFC
s22,-73.931,40.65777,10,DCFC
s23,-74.16949,40.80277,10,DCFC
s24,-73.97366,40.86819,10,DCFC
s25,-73.82364,40.76436,10,DCFC
s26,-73.97378,40.7957,10,DCFC
s27,-73.80983,40.66737,10,DCFC
s28,-73.99634,40.76397,10,DCFC
s29,-73.96895,40.8607,10,DCFC
s30,-73.94906,40.71061,10,DCFC
s31,-74.0651,40.76947,10,DCFC
s32,-74.0229,40.63924,10,DCFC
s33,-74.01948,40.64036,10,DCFC
s34,-74.04247,40.85495,10,DCFC
s35,-74.04186,40.85482,10,DCFC
s36,-74.04182,40.85444,10,DCFC
s37,-73.92849,40.7439,10,DCFC
s38,-73.92595,40.7436,10,DCFC
s39,-73.91461,40.76346,10,DCFC
s40,-73.95066,40.74454,10,DCFC
s41,-73.9284,40.86611,10,DCFC
s42,-73.91481,40.87045,10,DCFC
s43,-73.93993,40.67973,10,DCFC
s44,-73.77635,40.91375,10,DCFC
s45,-73.97077,40.84698,10,DCFC
s46,-73.96706,40.85563,10,DCFC
s47,-73.89775,40.76017,10,DCFC
s48,-73.96207,40.61023,10,DCFC
s49,-73.95384,40.61369,10,DCFC
s50,-73.9001,40.8856,10,DCFC
s51,-73.86732,40.90358,10,DCFC
s52,-73.86778,40.90442,10,DCFC
s53,-73.96277,40.61019,10,DCFC
s54,-73.95528,40.8651,10,DCFC
s55,-73.95373,40.86715,10,DCFC
s56,-74.16274,40.60734,10,DCFC
s57,-74.14785,40.94252,10,DCFC
s58,-74.1626,40.75417,10,DCFC
s59,-74.07103,40.91124,10,DCFC
s60,-73.95421,40.8107,10,DCFC
s61,-74.00348,40.73899,10,DCFC
s62,-73.90369,40.90747,10,DCFC
s63,-73.94428,40.72058,10,DCFC
s64,-73.96139,40.69417,10,DCFC
s65,-73.94806,40.78936,10,DCFC
s66,-73.86172,40.73027,10,DCFC
s67,-74.05667,40.73571,10,DCFC
s68,-73.91816,40.76973,10,DCFC
s69,-73.91895,40.77012,10,DCFC
s70,-74.19763,40.55923,10,DCFC
s71,-73.90402,40.74182,10,DCFC
s72,-73.93375,40.80307,10,DCFC
s73,-73.91534,40.74307,10,DCFC
s74,-73.94988,40.70496,10,DCFC
s75,-73.85654,40.74683,10,DCFC
s76,-73.88981,40.63342,10,DCFC
s77,-73.90076,40.64338,10,DCFC
s78,-73.90544,40.64819,10,DCFC
s79,-73.89693,40.69404,10,DCFC
s80,-74.10265,40.8675,10,DCFC
s81,-73.97324,40.86743,10,DCFC
s82,-73.97309,40.86789,10,DCFC
s83,-73.97364,40.8663,10,DCFC
s84,-73.98663,40.88185,10,DCFC
s85,-73.98808,40.88356,10,DCFC
s86,-73.98749,40.88319,10,DCFC
s87,-73.98882,40.88401,10,DCFC
s88,-73.98921,40.88359,10,DCFC
s89,-74.04244,40.91244,10,DCFC
s90,-74.05001,40.91517,10,DCFC
s91,-74.1187,40.93354,10,DCFC
s92,-74.09831,40.70527,10,DCFC
s93,-74.08137,40.72116,10,DCFC
s94,-73.91418,40.82408,10,DCFC
s95,-74.16928,40.56072,10,DCFC
s96,-73.89054,40.75522,10,DCFC
s97,-73.89132,40.75512,10,DCFC
s98,-73.96949,40.69764,10,DCFC
s99,-74.04347,40.73014,10,DCFC
s100,-74.04408,40.73218,10,DCFC
s101,-74.04306,40.73208,10,DCFC
s102,-74.04253,40.73007,10,DCFC
s103,-74.04185,40.73001,10,DCFC
s104,-73.84993,40.91264,10,DCFC
s105,-73.70016,40.72918,10,DCFC
s106,-73.9372,40.75978,10,DCFC
s107,-74.00421,40.75307,10,DCFC
s108,-74.04422,40.73014,10,DCFC
s109,-74.23436,40.52437,10,DCFC
s110,-73.88628,40.76948,10,DCFC
s111,-73.88395,40.76471,10,DCFC
s112,-73.88676,40.76468,10,DCFC
s113,-73.93058,40.73755,10,DCFC
s114,-73.91071,40.75277,10,DCFC
s115,-73.89884,40.75002,10,DCFC
s116,-73.89322,40.74652,10,DCFC
s117,-73.92219,40.74318,10,DCFC
s118,-73.8951,40.75434,10,DCFC
s119,-73.89777,40.75402,10,DCFC
s120,-73.99445,40.80029,10,DCFC
s121,-73.90978,40.7695,10,DCFC
s122,-73.93807,40.73462,10,DCFC
s123,-73.93465,40.74078,10,DCFC
s124,-73.93167,40.76504,10,DCFC
s125,-73.84974,40.76134,10,DCFC
s126,-73.92405,40.75226,10,DCFC
s127,-73.8632,40.83314,10,DCFC
s128,-73.87037,40.83552,10,DCFC
s129,-74.10289,40.72927,10,DCFC
s130,-73.93815,40.82096,10,DCFC
s131,-73.9377,40.82077,10,DCFC
s132,-74.16277,40.54397,10,DCFC
s133,-74.15854,40.54671,10,DCFC
s134,-74.20689,40.55805,10,DCFC
