seconds,num_vehs_charging
25200,0
25800,4
26400,8
27000,12
27600,19
28200,19
28800,19
29400,23
30000,23
30600,27
31200,34
31800,41
32400,45
33000,49
33600,53
34200,57
34800,61
35400,65
36000,65
36600,69
37200,73
37800,80
38400,84
39000,91
39600,95
40200,95
40800,99
41400,106
42000,106
42600,106
43200,110
43800,114
44400,114
45000,114
45600,118
46200,118
46800,122
47400,126
48000,126
48600,126
49200,126
49800,126
50400,122
51000,122
51600,122
52200,118
52800,114
53400,110
54000,110
54600,106
55200,99
55800,92
56400,85
57000,78
57600,74
58200,70
58800,66
59400,66
60000,66
60600,62
61200,58
61800,58
62400,58
63000,58
63600,58
64200,58
64800,58
65400,58
66000,58
66600,58
67200,58
67800,58
68400,58
69000,58
69600,58
70200,58
70800,58
71400,58
72000,58
72600,58
73200,65
73800,72
74400,76
75000,83
75600,83
76200,83
76800,87
77400,91
78000,75
78600,60
79200,40
79800,25
80400,0
81000,0
81600,0
82200,0
82800,0
83400,0
84000,0
84600,0
85200,0
85800,0
86400,0
87000,15
87600,20
88200,50
88800,60
89400,120
90000,150
90600,170
91200,177
91800,184
92400,188
93000,195
93600,195
94200,199
94800,203
95400,210
96000,214
96600,218
97200,222
97800,226
98400,230
99000,234
99600,238
100200,242
100800,242
101400,242
102000,246
102600,250
103200,254
103800,261
104400,261
105000,261
105600,261
106200,257
106800,253
107400,249
108000,245
108600,241
109200,237
109800,233
110400,226
111000,222
111600,215
