sim_time,requests
0,12
6,1
9,1
10,1
11,1
15,1
17,1
18,3
20,2
21,1
28,1
29,1
32,2
33,3
34,1
35,1
36,1
37,2
39,4
41,1
43,1
44,1
45,1
47,1
48,2
50,2
51,1
54,2
57,1
60,13
120,9
180,12
240,16
283,1
285,1
286,1
287,1
289,1
295,2
296,2
297,2
299,1
300,8
301,1
302,1
303,1
304,1
307,1
309,1
311,1
314,2
315,3
317,1
319,2
320,1
321,2
322,1
323,1
324,1
326,1
329,1
330,1
336,1
338,2
339,1
340,2
342,2
343,1
345,3
348,1
349,1
351,1
352,1
355,1
356,2
360,8
361,1
362,1
363,2
365,2
366,1
367,1
369,1
370,1
371,1
372,1
373,1
374,1
377,2
378,1
380,2
382,1
384,1
385,3
386,1
388,1
391,2
395,1
401,1
403,1
404,1
407,1
409,2
420,7
480,6
540,9
600,8
660,10
720,11
780,8
840,8
900,6
960,7
1020,11
1080,8
1140,11
1200,13
1260,5
1320,6
1380,14
1440,5
1500,9
1560,5
1620,12
1680,8
1740,10
1800,10
1860,8
1920,8
1980,8
2040,9
2100,3
2160,8
2220,7
2280,8
2340,6
2400,7
2460,10
2520,10
2580,5
2640,19
2700,8
2760,9
2820,10
2880,2
2940,6
3000,10
3060,12
3120,4
3180,15
3240,8
3300,10
3360,4
3420,7
3480,4
3540,4
3600,7
3660,11
3720,6
3780,8
3840,7
3900,7
3960,7
4020,7
4080,7
4140,4
4200,4
4260,5
4320,7
4380,11
4440,6
4500,6
4560,8
4620,5
4680,7
4740,5
4800,6
4860,9
4920,9
4980,7
5040,10
5100,11
5160,5
5220,6
5280,8
5340,7
5400,4
5460,6
5520,7
5580,9
5640,3
5700,8
5760,5
5820,2
5880,7
5940,6
6000,5
6060,7
6120,5
6180,3
6240,7
6300,5
6360,8
6420,7
6480,8
6540,5
6600,5
6660,4
6720,3
6780,5
6840,6
6900,10
6960,3
7020,5
7080,5
7140,2
7200,6
7260,7
7320,10
7380,6
7440,4
7500,6
7560,5
7620,7
7680,3
7740,6
7860,4
7920,4
7980,4
8040,6
8100,10
8160,4
8220,5
8280,6
8340,5
8400,1
8460,5
8520,8
8580,9
8640,4
8700,7
8760,7
8820,3
8880,1
8940,4
9000,7
9060,6
9120,9
9180,3
9240,2
9300,1
9360,4
9420,7
9480,7
9540,4
9600,4
9660,1
9720,3
9780,7
9840,4
9900,7
9960,2
10020,4
10080,6
10140,7
10200,3
10260,3
10320,2
10380,3
10440,4
10500,5
10560,3
10620,2
10680,6
10740,1
10800,7
10860,2
10920,6
10980,6
11040,3
11100,3
11160,4
11220,7
11280,2
11340,4
11460,2
11520,4
11580,6
11640,5
11700,2
11760,5
11820,1
11880,7
11940,4
12000,3
12060,3
12120,2
12180,4
12240,5
12300,2
12360,8
12420,4
12480,2
12540,3
12600,5
12660,6
12720,3
12780,2
12840,9
12900,8
12960,4
13020,3
13080,4
13140,4
13200,3
13260,1
13320,3
13380,4
13440,2
13500,5
13560,8
13620,3
13680,4
13740,1
13800,2
13860,2
13920,5
13980,4
14040,6
14100,3
14160,7
14220,6
14280,2
14340,9
14400,5
14460,6
14520,6
14580,5
14640,3
14700,9
14760,6
14820,2
14880,7
14940,2
15000,3
15060,6
15120,5
15180,4
15240,3
15300,4
15360,5
15420,5
15480,7
15540,2
15600,2
15660,3
15720,1
15780,6
15840,4
15900,3
16020,5
16080,1
16140,5
16200,3
16260,2
16320,3
16380,1
16440,3
16500,3
16560,1
16620,3
16680,9
16740,1
16800,3
16860,7
16920,3
16980,3
17040,2
17100,2
17160,3
17220,1
17280,1
17340,1
17400,3
17460,1
17520,2
17580,2
17640,1
17700,4
17760,2
17820,5
17880,1
17940,1
18000,2
18060,2
18120,3
18180,1
18240,2
18300,3
18360,1
18420,1
18480,3
18540,2
18600,2
18660,4
18720,4
18780,3
18840,2
18900,1
18960,2
